subscription_id,customer_id,tier,start_date,end_date,end_reason
S000034,C00033,Starter,2025-03-01,2025-04-01,Churn
S000035,C00034,Starter,2023-12-01,2024-07-01,Churn
S000036,C00035,Starter,2025-09-01,2025-09-01,Churn
S000037,C00036,Growth,2025-12-01,2025-12-01,Active
S000038,C00037,Starter,2024-06-01,2025-07-01,Upgrade
S000039,C00037,Growth,2025-08-01,2025-12-01,Active
S000040,C00038,Starter,2025-12-01,2025-12-01,Active
S000041,C00039,Starter,2025-12-01,2025-12-01,Active
S000042,C00040,Starter,2024-12-01,2025-03-01,Churn
S000043,C00041,Growth,2025-10-01,2025-10-01,Upgrade
S000044,C00041,Enterprise,2025-11-01,2025-12-01,Active
S000045,C00042,Enterprise,2024-12-01,2025-12-01,Active
S000046,C00043,Growth,2024-12-01,2025-12-01,Active
S000047,C00044,Starter,2025-11-01,2025-12-01,Active
S000048,C00045,Starter,2025-02-01,2025-03-01,Upgrade
S000049,C00045,Growth,2025-04-01,2025-12-01,Active
S000050,C00046,Starter,2025-12-01,2025-12-01,Active
S000051,C00047,Growth,2025-09-01,2025-12-01,Active
S000052,C00048,Growth,2024-02-01,2025-12-01,Active
S000053,C00049,Starter,2024-02-01,2025-12-01,Active
S000054,C00050,Starter,2025-05-01,2025-12-01,Active
S000055,C00051,Growth,2025-01-01,2025-12-01,Active
S000056,C00052,Starter,2025-01-01,2025-05-01,Churn
S000057,C00053,Starter,2023-09-01,2024-08-01,Churn
S000058,C00054,Starter,2025-10-01,2025-12-01,Active
S000059,C00055,Starter,2023-03-01,2025-09-01,Churn
S000060,C00056,Growth,2023-11-01,2024-08-01,Churn
S000061,C00057,Starter,2025-12-01,2025-12-01,Active
S000062,C00058,Enterprise,2025-09-01,2025-12-01,Active
S000063,C00059,Growth,2025-03-01,2025-12-01,Active
S000064,C00060,Starter,2025-09-01,2025-11-01,Churn
S000065,C00061,Starter,2025-07-01,2025-12-01,Active
S000066,C00062,Starter,2025-09-01,2025-12-01,Active
S000067,C00063,Growth,2024-03-01,2025-06-01,Churn
S000068,C00064,Starter,2023-03-01,2025-12-01,Active
S000069,C00065,Starter,2023-07-01,2023-07-01,Churn
S000070,C00066,Growth,2025-10-01,2025-12-01,Active
S000071,C00067,Growth,2024-07-01,2025-12-01,Active
S000072,C00068,Starter,2025-04-01,2025-12-01,Active
S000073,C00069,Growth,2024-11-01,2025-12-01,Active
S000074,C00070,Starter,2025-01-01,2025-12-01,Active
S000075,C00071,Growth,2025-06-01,2025-12-01,Active
S000076,C00072,Starter,2024-08-01,2025-12-01,Active
S000077,C00073,Starter,2025-02-01,2025-12-01,Active
S000078,C00074,Starter,2023-11-01,2025-04-01,Churn
S000079,C00075,Starter,2024-08-01,2025-01-01,Upgrade
S000080,C00075,Growth,2025-02-01,2025-07-01,Churn
S000081,C00076,Enterprise,2023-12-01,2025-12-01,Active
S000082,C00077,Starter,2025-06-01,2025-12-01,Active
S000083,C00078,Growth,2023-12-01,2025-12-01,Active
S000084,C00079,Growth,2024-12-01,2025-12-01,Active
S000085,C00080,Growth,2024-07-01,2024-11-01,Churn
S000086,C00081,Starter,2024-01-01,2025-01-01,Churn
S000087,C00082,Starter,2023-12-01,2024-03-01,Upgrade
S000088,C00082,Growth,2024-04-01,2025-12-01,Active
S000089,C00083,Starter,2023-05-01,2023-06-01,Churn
S000090,C00084,Starter,2024-06-01,2024-07-01,Churn
S000091,C00085,Growth,2025-11-01,2025-12-01,Active
S000092,C00086,Starter,2024-02-01,2024-09-01,Upgrade
S000093,C00086,Growth,2024-10-01,2025-11-01,Churn
S000094,C00087,Starter,2024-11-01,2025-04-01,Upgrade
S000095,C00087,Growth,2025-05-01,2025-12-01,Active
S000096,C00088,Enterprise,2024-05-01,2025-12-01,Active
S000097,C00089,Growth,2025-12-01,2025-12-01,Active
S000098,C00090,Starter,2025-02-01,2025-09-01,Churn
S000099,C00091,Enterprise,2024-08-01,2025-12-01,Active
S000100,C00092,Enterprise,2023-12-01,2025-07-01,Churn
S000101,C00093,Starter,2023-11-01,2025-04-01,Churn
S000102,C00094,Growth,2023-10-01,2025-12-01,Active
S000103,C00095,Starter,2025-11-01,2025-12-01,Active
S000104,C00096,Growth,2025-04-01,2025-12-01,Active
S000105,C00097,Starter,2024-12-01,2025-05-01,Churn
S000106,C00098,Enterprise,2025-03-01,2025-12-01,Active
S000107,C00099,Starter,2025-07-01,2025-12-01,Active
S000108,C00100,Growth,2024-05-01,2025-12-01,Active
S000109,C00101,Starter,2024-07-01,2024-07-01,Upgrade
S000110,C00101,Growth,2024-08-01,2025-12-01,Active
S000111,C00102,Starter,2025-05-01,2025-07-01,Churn
S000112,C00103,Starter,2024-08-01,2025-12-01,Active
S000113,C00104,Growth,2024-01-01,2025-12-01,Active
S000114,C00105,Growth,2023-03-01,2025-12-01,Active
S000115,C00106,Growth,2024-01-01,2025-12-01,Active
S000116,C00107,Growth,2023-06-01,2025-12-01,Active
S000117,C00108,Starter,2025-04-01,2025-10-01,Churn
S000118,C00109,Starter,2024-02-01,2025-12-01,Active
S000119,C00110,Starter,2024-11-01,2025-12-01,Active
S000120,C00111,Starter,2023-10-01,2025-12-01,Active
S000121,C00112,Growth,2025-05-01,2025-12-01,Active
S000122,C00113,Growth,2025-08-01,2025-12-01,Active
S000123,C00114,Starter,2024-01-01,2025-12-01,Active
S000124,C00115,Starter,2023-06-01,2024-02-01,Upgrade
S000125,C00115,Growth,2024-03-01,2025-12-01,Active
S000126,C00116,Starter,2023-12-01,2024-10-01,Churn
S000127,C00117,Starter,2025-01-01,2025-12-01,Active
S000128,C00118,Starter,2023-07-01,2025-06-01,Churn
S000129,C00119,Starter,2024-05-01,2024-11-01,Churn
S000130,C00120,Starter,2025-01-01,2025-01-01,Upgrade
S000131,C00120,Growth,2025-02-01,2025-12-01,Active
S000132,C00121,Starter,2024-01-01,2025-12-01,Active
S000133,C00122,Growth,2024-08-01,2025-12-01,Active
S000134,C00123,Enterprise,2025-08-01,2025-12-01,Active
S000135,C00124,Starter,2025-02-01,2025-12-01,Active
S000136,C00125,Enterprise,2025-07-01,2025-12-01,Active
S000137,C00126,Starter,2025-10-01,2025-12-01,Active
S000138,C00127,Starter,2024-09-01,2025-12-01,Active
S000139,C00128,Enterprise,2025-01-01,2025-02-01,Churn
S000140,C00129,Starter,2025-11-01,2025-12-01,Active
S000141,C00130,Growth,2024-08-01,2025-12-01,Active
S000142,C00131,Starter,2025-07-01,2025-12-01,Active
S000143,C00132,Enterprise,2025-08-01,2025-12-01,Active
S000144,C00133,Starter,2025-05-01,2025-12-01,Active
S000145,C00134,Starter,2025-09-01,2025-12-01,Active
S000146,C00135,Growth,2023-10-01,2025-12-01,Active
S000147,C00136,Growth,2024-01-01,2025-05-01,Upgrade
S000148,C00136,Enterprise,2025-06-01,2025-06-01,Downgrade
S000149,C00136,Growth,2025-07-01,2025-12-01,Active
S000150,C00137,Growth,2025-12-01,2025-12-01,Active
S000151,C00138,Enterprise,2024-06-01,2025-12-01,Active
S000152,C00139,Starter,2025-08-01,2025-12-01,Active
S000153,C00140,Enterprise,2025-12-01,2025-12-01,Active
S000154,C00141,Enterprise,2025-05-01,2025-12-01,Active
S000155,C00142,Starter,2025-11-01,2025-12-01,Active
S000156,C00143,Growth,2024-12-01,2025-12-01,Active
S000157,C00144,Starter,2024-11-01,2025-12-01,Active
S000158,C00145,Starter,2023-12-01,2024-07-01,Churn
S000159,C00146,Growth,2025-04-01,2025-09-01,Churn
S000160,C00147,Enterprise,2024-09-01,2025-06-01,Downgrade
S000161,C00147,Growth,2025-07-01,2025-12-01,Active
S000162,C00148,Starter,2025-08-01,2025-08-01,Churn
S000163,C00149,Growth,2025-12-01,2025-12-01,Active
S000164,C00150,Starter,2025-02-01,2025-03-01,Churn
S000165,C00151,Starter,2025-01-01,2025-01-01,Churn
S000166,C00152,Starter,2025-01-01,2025-09-01,Upgrade
S000167,C00152,Growth,2025-10-01,2025-12-01,Active
S000168,C00153,Starter,2025-05-01,2025-12-01,Active
S000169,C00154,Starter,2023-04-01,2023-07-01,Churn
S000170,C00155,Growth,2024-06-01,2025-12-01,Active
S000171,C00156,Starter,2025-01-01,2025-12-01,Active
S000172,C00157,Starter,2024-08-01,2025-03-01,Upgrade
S000173,C00157,Growth,2025-04-01,2025-12-01,Active
S000174,C00158,Starter,2023-09-01,2023-12-01,Upgrade
S000175,C00158,Growth,2024-01-01,2024-05-01,Churn
S000176,C00159,Growth,2025-03-01,2025-12-01,Active
S000177,C00160,Starter,2023-12-01,2024-07-01,Churn
S000178,C00161,Enterprise,2024-06-01,2025-12-01,Active
S000179,C00162,Starter,2025-05-01,2025-06-01,Upgrade
S000180,C00162,Growth,2025-07-01,2025-12-01,Active
S000181,C00163,Growth,2023-11-01,2025-12-01,Active
S000182,C00164,Starter,2025-08-01,2025-12-01,Active
S000183,C00165,Starter,2023-03-01,2025-12-01,Active
S000184,C00166,Growth,2023-09-01,2025-12-01,Active
S000185,C00167,Growth,2025-08-01,2025-12-01,Active
S000186,C00168,Growth,2025-09-01,2025-12-01,Active
S000187,C00169,Growth,2025-08-01,2025-09-01,Churn
S000188,C00170,Starter,2023-06-01,2024-07-01,Churn
S000189,C00171,Starter,2025-03-01,2025-12-01,Active
S000190,C00172,Growth,2024-08-01,2025-10-01,Downgrade
S000191,C00172,Starter,2025-11-01,2025-12-01,Active
S000192,C00173,Starter,2023-05-01,2023-11-01,Churn
S000193,C00174,Starter,2023-04-01,2023-07-01,Upgrade
S000194,C00174,Growth,2023-08-01,2025-12-01,Active
S000195,C00175,Enterprise,2023-08-01,2025-12-01,Active
S000196,C00176,Growth,2024-12-01,2025-12-01,Active
S000197,C00177,Starter,2024-06-01,2025-08-01,Churn
S000198,C00178,Enterprise,2025-08-01,2025-12-01,Active
S000199,C00179,Growth,2023-04-01,2025-05-01,Churn
S000200,C00180,Enterprise,2025-02-01,2025-12-01,Active
S000201,C00181,Starter,2025-12-01,2025-12-01,Active
S000202,C00182,Growth,2023-11-01,2025-12-01,Active
S000203,C00183,Growth,2024-01-01,2025-12-01,Active
S000204,C00184,Starter,2025-02-01,2025-12-01,Active
S000205,C00185,Starter,2023-02-01,2024-09-01,Upgrade
S000206,C00185,Growth,2024-10-01,2025-12-01,Active
S000207,C00186,Growth,2024-08-01,2025-11-01,Churn
S000208,C00187,Starter,2023-03-01,2025-05-01,Churn
S000209,C00188,Starter,2023-04-01,2025-12-01,Active
S000210,C00189,Starter,2023-05-01,2023-08-01,Churn
S000211,C00190,Starter,2024-12-01,2025-06-01,Churn
S000212,C00191,Growth,2025-01-01,2025-12-01,Active
S000213,C00192,Starter,2025-04-01,2025-10-01,Churn
S000214,C00193,Starter,2024-06-01,2025-03-01,Churn
S000215,C00194,Starter,2025-03-01,2025-12-01,Active
S000216,C00195,Starter,2025-05-01,2025-12-01,Active
S000217,C00196,Starter,2025-03-01,2025-11-01,Churn
S000218,C00197,Starter,2023-04-01,2023-09-01,Churn
S000219,C00198,Starter,2025-02-01,2025-12-01,Active
S000220,C00199,Growth,2024-12-01,2025-12-01,Active
S000221,C00200,Growth,2025-03-01,2025-12-01,Active
S000222,C00201,Starter,2023-10-01,2025-12-01,Active
S000223,C00202,Starter,2024-11-01,2025-06-01,Churn
S000224,C00203,Starter,2024-10-01,2025-12-01,Active
S000225,C00204,Starter,2025-06-01,2025-12-01,Active
S000226,C00205,Growth,2023-04-01,2025-12-01,Active
S000227,C00206,Starter,2024-01-01,2025-12-01,Active
S000228,C00207,Enterprise,2024-12-01,2025-12-01,Active
S000229,C00208,Starter,2023-01-01,2023-07-01,Churn
S000230,C00209,Starter,2023-07-01,2023-09-01,Churn
S000231,C00210,Growth,2024-09-01,2025-10-01,Churn
S000232,C00211,Starter,2024-07-01,2025-12-01,Active
S000233,C00212,Starter,2025-04-01,2025-12-01,Active
S000234,C00213,Starter,2024-08-01,2025-09-01,Churn
S000235,C00214,Starter,2024-12-01,2025-12-01,Active
S000236,C00215,Starter,2025-06-01,2025-09-01,Churn
S000237,C00216,Starter,2024-04-01,2025-03-01,Upgrade
S000238,C00216,Growth,2025-04-01,2025-12-01,Active
S000239,C00217,Starter,2023-10-01,2025-12-01,Active
S000240,C00218,Enterprise,2024-09-01,2025-12-01,Active
S000241,C00219,Starter,2025-02-01,2025-12-01,Active
S000242,C00220,Starter,2023-05-01,2023-10-01,Churn
S000243,C00221,Starter,2023-05-01,2023-08-01,Churn
S000244,C00222,Starter,2025-09-01,2025-12-01,Active
S000245,C00223,Growth,2025-11-01,2025-12-01,Active
S000246,C00224,Starter,2024-03-01,2025-12-01,Active
S000247,C00225,Growth,2025-12-01,2025-12-01,Active
S000248,C00226,Starter,2024-10-01,2025-12-01,Active
S000249,C00227,Starter,2025-03-01,2025-03-01,Churn
S000250,C00228,Growth,2025-03-01,2025-12-01,Active
S000251,C00229,Enterprise,2024-03-01,2025-12-01,Active
S000252,C00230,Growth,2025-02-01,2025-12-01,Active
S000253,C00231,Growth,2025-06-01,2025-11-01,Churn
S000254,C00232,Starter,2025-10-01,2025-12-01,Active
S000255,C00233,Starter,2023-10-01,2023-11-01,Churn
S000256,C00234,Starter,2023-09-01,2024-07-01,Churn
S000257,C00235,Starter,2025-09-01,2025-12-01,Active
S000258,C00236,Growth,2023-09-01,2025-12-01,Active
S000259,C00237,Starter,2024-07-01,2024-07-01,Churn
S000260,C00238,Enterprise,2025-05-01,2025-12-01,Active
S000261,C00239,Enterprise,2024-08-01,2025-01-01,Churn
S000262,C00240,Starter,2025-06-01,2025-12-01,Active
S000263,C00241,Enterprise,2025-07-01,2025-12-01,Active
S000264,C00242,Starter,2025-11-01,2025-12-01,Active
S000265,C00243,Enterprise,2024-01-01,2024-06-01,Churn
S000266,C00244,Starter,2025-07-01,2025-12-01,Active
S000267,C00245,Enterprise,2023-12-01,2024-09-01,Churn
S000268,C00246,Growth,2025-04-01,2025-12-01,Active
S000269,C00247,Starter,2025-03-01,2025-12-01,Active
S000270,C00248,Growth,2023-02-01,2025-12-01,Active
S000271,C00249,Starter,2023-07-01,2024-03-01,Churn
S000272,C00250,Starter,2024-08-01,2025-12-01,Active
S000273,C00251,Starter,2024-12-01,2025-12-01,Active
S000274,C00252,Starter,2024-06-01,2025-12-01,Active
S000275,C00253,Growth,2024-11-01,2025-12-01,Active
S000276,C00254,Growth,2025-02-01,2025-07-01,Upgrade
S000277,C00254,Enterprise,2025-08-01,2025-12-01,Active
S000278,C00255,Growth,2023-12-01,2024-08-01,Churn
S000279,C00256,Growth,2023-04-01,2024-01-01,Upgrade
S000280,C00256,Enterprise,2024-02-01,2025-12-01,Active
S000281,C00257,Growth,2025-12-01,2025-12-01,Active
S000282,C00258,Starter,2023-03-01,2025-02-01,Churn
S000283,C00259,Growth,2024-10-01,2025-12-01,Active
S000284,C00260,Starter,2024-02-01,2024-09-01,Churn
S000285,C00261,Starter,2024-07-01,2024-12-01,Churn
S000286,C00262,Growth,2024-09-01,2024-10-01,Churn
S000287,C00263,Starter,2024-07-01,2024-07-01,Churn
S000288,C00264,Starter,2023-05-01,2025-12-01,Active
S000289,C00265,Starter,2024-07-01,2024-08-01,Upgrade
S000290,C00265,Growth,2024-09-01,2025-02-01,Churn
S000291,C00266,Growth,2024-01-01,2025-08-01,Upgrade
S000292,C00266,Enterprise,2025-09-01,2025-12-01,Active
S000293,C00267,Growth,2024-10-01,2025-12-01,Active
S000294,C00268,Starter,2025-06-01,2025-12-01,Active
S000295,C00269,Starter,2025-11-01,2025-12-01,Active
S000296,C00270,Growth,2025-06-01,2025-12-01,Active
S000297,C00271,Enterprise,2025-11-01,2025-12-01,Active
S000298,C00272,Starter,2024-01-01,2024-10-01,Churn
S000299,C00273,Growth,2023-10-01,2025-09-01,Churn
S000300,C00274,Growth,2025-07-01,2025-12-01,Active
S000301,C00275,Enterprise,2024-11-01,2025-12-01,Active
S000302,C00276,Growth,2023-09-01,2025-12-01,Active
S000303,C00277,Enterprise,2025-06-01,2025-12-01,Active
S000304,C00278,Growth,2023-08-01,2025-07-01,Churn
S000305,C00279,Enterprise,2024-10-01,2025-12-01,Active
S000306,C00280,Growth,2023-05-01,2024-05-01,Downgrade
S000307,C00280,Starter,2024-06-01,2025-04-01,Upgrade
S000308,C00280,Growth,2025-05-01,2025-12-01,Active
S000309,C00281,Growth,2025-02-01,2025-12-01,Active
S000310,C00282,Enterprise,2025-08-01,2025-12-01,Active
S000311,C00283,Starter,2024-04-01,2025-04-01,Churn
S000312,C00284,Starter,2025-11-01,2025-12-01,Active
S000313,C00285,Growth,2023-09-01,2025-12-01,Active
S000314,C00286,Starter,2024-04-01,2025-12-01,Active
S000315,C00287,Growth,2025-06-01,2025-12-01,Active
S000316,C00288,Growth,2024-09-01,2025-12-01,Active
S000317,C00289,Starter,2024-06-01,2025-12-01,Active
S000318,C00290,Growth,2023-11-01,2025-12-01,Active
S000319,C00291,Starter,2025-12-01,2025-12-01,Active
S000320,C00292,Enterprise,2023-07-01,2025-12-01,Active
S000321,C00293,Starter,2025-01-01,2025-12-01,Active
S000322,C00294,Starter,2025-04-01,2025-08-01,Churn
S000323,C00295,Starter,2024-09-01,2024-09-01,Churn
S000324,C00296,Growth,2024-04-01,2025-12-01,Active
S000325,C00297,Starter,2024-02-01,2025-04-01,Churn
S000326,C00298,Starter,2025-06-01,2025-07-01,Churn
S000327,C00299,Growth,2024-02-01,2024-07-01,Churn
S000328,C00300,Enterprise,2025-03-01,2025-04-01,Downgrade
S000329,C00300,Growth,2025-05-01,2025-12-01,Active
S000330,C00301,Starter,2024-11-01,2025-12-01,Active
S000331,C00302,Growth,2023-04-01,2025-12-01,Active
S000332,C00303,Starter,2025-09-01,2025-12-01,Active
S000333,C00304,Starter,2025-05-01,2025-05-01,Churn
S000334,C00305,Starter,2024-11-01,2025-03-01,Churn
S000335,C00306,Starter,2024-12-01,2025-12-01,Active
S000336,C00307,Starter,2024-01-01,2025-12-01,Active
S000337,C00308,Enterprise,2024-12-01,2025-12-01,Active
S000338,C00309,Starter,2025-07-01,2025-12-01,Active
S000339,C00310,Enterprise,2024-03-01,2025-12-01,Active
S000340,C00311,Starter,2025-09-01,2025-12-01,Active
S000341,C00312,Starter,2025-12-01,2025-12-01,Active
S000342,C00313,Growth,2024-04-01,2025-12-01,Active
S000343,C00314,Starter,2024-01-01,2024-10-01,Churn
S000344,C00315,Starter,2025-06-01,2025-12-01,Active
S000345,C00316,Growth,2025-11-01,2025-12-01,Active
S000346,C00317,Starter,2025-09-01,2025-12-01,Active
S000347,C00318,Starter,2024-02-01,2024-05-01,Churn
S000348,C00319,Starter,2023-11-01,2023-11-01,Upgrade
S000349,C00319,Growth,2023-12-01,2024-03-01,Upgrade
S000350,C00319,Enterprise,2024-04-01,2025-12-01,Active
S000351,C00320,Growth,2025-01-01,2025-12-01,Active
S000352,C00321,Growth,2023-12-01,2025-12-01,Active
S000353,C00322,Enterprise,2023-01-01,2025-12-01,Active
S000354,C00323,Growth,2024-08-01,2025-12-01,Active
S000355,C00324,Starter,2025-02-01,2025-04-01,Churn
S000356,C00325,Growth,2024-06-01,2025-12-01,Active
S000357,C00326,Starter,2023-10-01,2025-12-01,Active
S000358,C00327,Enterprise,2024-11-01,2025-12-01,Active
S000359,C00328,Starter,2024-10-01,2025-12-01,Active
S000360,C00329,Starter,2024-03-01,2024-12-01,Upgrade
S000361,C00329,Growth,2025-01-01,2025-12-01,Active
S000362,C00330,Enterprise,2025-06-01,2025-12-01,Active
S000363,C00331,Starter,2025-07-01,2025-12-01,Active
S000364,C00332,Starter,2024-08-01,2025-11-01,Churn
S000365,C00333,Growth,2025-11-01,2025-12-01,Active
S000366,C00334,Growth,2023-12-01,2025-07-01,Upgrade
S000367,C00334,Enterprise,2025-08-01,2025-12-01,Active
S000368,C00335,Starter,2025-06-01,2025-12-01,Active
S000369,C00336,Growth,2023-11-01,2024-06-01,Upgrade
S000370,C00336,Enterprise,2024-07-01,2025-11-01,Churn
S000371,C00337,Growth,2025-04-01,2025-12-01,Active
S000372,C00338,Growth,2025-03-01,2025-09-01,Downgrade
S000373,C00338,Starter,2025-10-01,2025-12-01,Active
S000374,C00339,Growth,2023-05-01,2025-04-01,Upgrade
S000375,C00339,Enterprise,2025-05-01,2025-12-01,Active
S000376,C00340,Growth,2024-10-01,2025-12-01,Active
S000377,C00341,Growth,2024-12-01,2025-12-01,Active
S000378,C00342,Starter,2024-06-01,2025-09-01,Churn
S000379,C00343,Starter,2024-06-01,2025-01-01,Upgrade
S000380,C00343,Growth,2025-02-01,2025-05-01,Churn
S000381,C00344,Enterprise,2025-04-01,2025-12-01,Active
S000382,C00345,Enterprise,2023-03-01,2025-11-01,Churn
S000383,C00346,Growth,2025-11-01,2025-12-01,Active
S000384,C00347,Growth,2024-05-01,2025-03-01,Churn
S000385,C00348,Enterprise,2023-07-01,2025-12-01,Active
S000386,C00349,Growth,2023-01-01,2025-12-01,Active
S000387,C00350,Starter,2024-05-01,2025-07-01,Upgrade
S000388,C00350,Growth,2025-08-01,2025-12-01,Active
S000389,C00351,Enterprise,2025-06-01,2025-12-01,Active
S000390,C00352,Growth,2023-12-01,2025-03-01,Churn
S000391,C00353,Enterprise,2023-12-01,2025-12-01,Active
S000392,C00354,Growth,2023-04-01,2023-11-01,Churn
S000393,C00355,Enterprise,2024-12-01,2024-12-01,Churn
S000394,C00356,Starter,2024-10-01,2025-12-01,Active
S000395,C00357,Enterprise,2025-10-01,2025-12-01,Active
S000396,C00358,Starter,2025-03-01,2025-12-01,Active
S000397,C00359,Growth,2023-10-01,2025-12-01,Active
S000398,C00360,Starter,2025-07-01,2025-10-01,Churn
S000399,C00361,Starter,2024-05-01,2024-09-01,Upgrade
S000400,C00361,Growth,2024-10-01,2025-12-01,Active
S000401,C00362,Growth,2023-06-01,2025-12-01,Active
S000402,C00363,Growth,2023-03-01,2024-02-01,Upgrade
S000403,C00363,Enterprise,2024-03-01,2025-12-01,Active
S000404,C00364,Starter,2024-08-01,2025-12-01,Active
S000405,C00365,Starter,2025-11-01,2025-12-01,Active
S000406,C00366,Starter,2025-04-01,2025-12-01,Active
S000407,C00367,Starter,2024-10-01,2025-12-01,Active
S000408,C00368,Starter,2025-07-01,2025-10-01,Churn
S000409,C00369,Starter,2024-06-01,2024-06-01,Churn
S000410,C00370,Starter,2024-12-01,2025-06-01,Churn
S000411,C00371,Enterprise,2024-09-01,2025-12-01,Active
S000412,C00372,Starter,2025-02-01,2025-12-01,Active
S000413,C00373,Enterprise,2024-11-01,2025-12-01,Active
S000414,C00374,Growth,2023-03-01,2025-12-01,Active
S000415,C00375,Starter,2023-08-01,2024-06-01,Upgrade
S000416,C00375,Growth,2024-07-01,2025-12-01,Active
S000417,C00376,Growth,2024-05-01,2024-10-01,Upgrade
S000418,C00376,Enterprise,2024-11-01,2025-12-01,Active
S000419,C00377,Growth,2023-02-01,2025-12-01,Active
S000420,C00378,Enterprise,2025-12-01,2025-12-01,Active
S000421,C00379,Growth,2023-07-01,2023-07-01,Churn
S000422,C00380,Growth,2024-01-01,2025-05-01,Churn
S000423,C00381,Growth,2023-11-01,2024-03-01,Churn
S000424,C00382,Starter,2023-06-01,2025-12-01,Active
S000425,C00383,Enterprise,2023-05-01,2025-12-01,Active
S000426,C00384,Growth,2025-09-01,2025-12-01,Active
S000427,C00385,Enterprise,2024-08-01,2025-12-01,Active
S000428,C00386,Starter,2025-02-01,2025-12-01,Active
S000429,C00387,Starter,2025-05-01,2025-06-01,Churn
S000430,C00388,Starter,2024-11-01,2025-11-01,Churn
S000431,C00389,Enterprise,2023-08-01,2025-12-01,Active
S000432,C00390,Growth,2023-06-01,2025-06-01,Upgrade
S000433,C00390,Enterprise,2025-07-01,2025-12-01,Active
S000434,C00391,Enterprise,2024-06-01,2025-12-01,Active
S000435,C00392,Growth,2023-12-01,2025-12-01,Active
S000436,C00393,Starter,2023-06-01,2025-12-01,Active
S000437,C00394,Starter,2024-05-01,2024-10-01,Churn
S000438,C00395,Starter,2023-01-01,2025-12-01,Active
S000439,C00396,Starter,2024-07-01,2025-05-01,Churn
S000440,C00397,Starter,2023-06-01,2025-12-01,Active
S000441,C00398,Starter,2025-06-01,2025-12-01,Active
S000442,C00399,Starter,2023-09-01,2024-06-01,Upgrade
S000443,C00399,Growth,2024-07-01,2025-06-01,Churn
S000444,C00400,Starter,2023-09-01,2024-01-01,Upgrade
S000445,C00400,Growth,2024-02-01,2025-12-01,Active
S000446,C00401,Starter,2025-04-01,2025-12-01,Active
S000447,C00402,Starter,2025-11-01,2025-12-01,Active
S000448,C00403,Starter,2024-07-01,2025-12-01,Active
S000449,C00404,Enterprise,2025-11-01,2025-12-01,Active
S000450,C00405,Starter,2025-05-01,2025-12-01,Active
S000451,C00406,Growth,2025-07-01,2025-12-01,Active
S000452,C00407,Enterprise,2023-10-01,2023-11-01,Downgrade
S000453,C00407,Growth,2023-12-01,2025-12-01,Active
S000454,C00408,Growth,2024-07-01,2025-12-01,Active
S000455,C00409,Starter,2025-03-01,2025-12-01,Active
S000456,C00410,Growth,2025-06-01,2025-12-01,Active
S000457,C00411,Enterprise,2025-10-01,2025-12-01,Active
S000458,C00412,Growth,2025-09-01,2025-12-01,Active
S000459,C00413,Growth,2025-02-01,2025-12-01,Active
S000460,C00414,Starter,2024-06-01,2024-10-01,Churn
S000461,C00415,Starter,2023-11-01,2025-12-01,Active
S000462,C00416,Starter,2024-05-01,2025-12-01,Active
S000463,C00417,Growth,2024-09-01,2025-11-01,Upgrade
S000464,C00417,Enterprise,2025-12-01,2025-12-01,Active
S000465,C00418,Starter,2023-08-01,2024-01-01,Churn
S000466,C00419,Starter,2023-06-01,2025-12-01,Active
