customer_id,signup_date,industry,region,sales_channel,initial_tier,discount_pct
C00124,2025-02-25,Education,North America,Direct,Starter,0
C00125,2025-07-29,Financial Services,North America,Self-Serve,Enterprise,15
C00126,2025-10-22,Retail,North America,Self-Serve,Starter,0
C00127,2024-09-21,Retail,North America,Self-Serve,Starter,0
C00128,2025-01-01,Financial Services,North America,Direct,Enterprise,20
C00129,2025-11-17,Other,EMEA,Self-Serve,Starter,0
C00130,2024-08-22,Healthcare,APAC,Self-Serve,Growth,15
C00131,2025-07-18,Other,North America,Self-Serve,Starter,0
C00132,2025-08-26,Technology,EMEA,Self-Serve,Enterprise,25
C00133,2025-05-29,Financial Services,North America,Self-Serve,Starter,0
C00134,2025-09-01,Media,North America,Partner,Starter,0
C00135,2023-10-15,Technology,EMEA,Direct,Growth,0
C00136,2024-01-16,Financial Services,North America,Partner,Growth,5
C00137,2025-12-07,Healthcare,North America,Self-Serve,Growth,10
C00138,2024-06-18,Technology,APAC,Self-Serve,Enterprise,20
C00139,2025-08-03,Retail,EMEA,Direct,Starter,0
C00140,2025-12-13,Technology,EMEA,Self-Serve,Enterprise,15
C00141,2025-05-16,Financial Services,North America,Direct,Enterprise,15
C00142,2025-11-03,Retail,APAC,Self-Serve,Starter,5
C00143,2024-12-09,Healthcare,APAC,Self-Serve,Growth,5
C00144,2024-11-11,Retail,North America,Self-Serve,Starter,10
C00145,2023-12-15,Technology,APAC,Self-Serve,Starter,0
C00146,2025-04-08,Media,North America,Direct,Growth,0
C00147,2024-09-16,Financial Services,North America,Direct,Enterprise,30
C00148,2025-08-15,Financial Services,APAC,Self-Serve,Starter,10
C00149,2025-12-04,Financial Services,EMEA,Self-Serve,Growth,10
C00150,2025-02-14,Media,APAC,Partner,Starter,0
C00151,2025-01-23,Education,North America,Direct,Starter,0
C00152,2025-01-27,Education,LATAM,Direct,Starter,0
C00153,2025-05-29,Manufacturing,North America,Self-Serve,Starter,0
C00154,2023-04-04,Media,North America,Self-Serve,Starter,5
C00155,2024-06-22,Manufacturing,North America,Self-Serve,Growth,10
C00156,2025-01-16,Technology,APAC,Self-Serve,Starter,0
C00157,2024-08-10,Healthcare,APAC,Self-Serve,Starter,5
C00158,2023-09-08,Retail,North America,Direct,Starter,0
C00159,2025-03-25,Retail,North America,Partner,Growth,5
C00160,2023-12-13,Healthcare,EMEA,Partner,Starter,10
C00161,2024-06-05,Financial Services,APAC,Direct,Enterprise,20
C00162,2025-05-15,Media,APAC,Direct,Starter,0
C00163,2023-11-21,Technology,North America,Direct,Growth,15
C00164,2025-08-08,Healthcare,APAC,Direct,Starter,0
C00165,2023-03-14,Technology,North America,Partner,Starter,0
C00166,2023-09-30,Financial Services,EMEA,Partner,Growth,10
C00167,2025-08-01,Technology,APAC,Direct,Growth,15
C00168,2025-09-06,Media,North America,Self-Serve,Growth,0
C00169,2025-08-28,Manufacturing,LATAM,Partner,Growth,10
C00170,2023-06-09,Technology,North America,Self-Serve,Starter,10
C00171,2025-03-08,Healthcare,APAC,Partner,Starter,0
C00172,2024-08-23,Healthcare,LATAM,Self-Serve,Growth,15
C00173,2023-05-01,Media,APAC,Self-Serve,Starter,0
C00174,2023-04-03,Financial Services,LATAM,Self-Serve,Starter,5
C00175,2023-08-10,Retail,EMEA,Direct,Enterprise,20
C00176,2024-12-16,Manufacturing,APAC,Direct,Growth,10
C00177,2024-06-18,Other,North America,Self-Serve,Starter,0
C00178,2025-08-24,Financial Services,EMEA,Direct,Enterprise,15
C00179,2023-04-27,Technology,LATAM,Partner,Growth,5
C00180,2025-02-26,Healthcare,EMEA,Self-Serve,Enterprise,10
C00181,2025-12-21,Media,North America,Partner,Starter,5
C00182,2023-11-18,Media,North America,Self-Serve,Growth,0
C00183,2024-01-28,Other,LATAM,Direct,Growth,0
C00184,2025-02-25,Financial Services,North America,Direct,Starter,0
C00185,2023-02-09,Technology,North America,Self-Serve,Starter,0
C00186,2024-08-27,Manufacturing,North America,Self-Serve,Growth,10
C00187,2023-03-30,Media,APAC,Direct,Starter,0
C00188,2023-04-27,Retail,North America,Direct,Starter,0
C00189,2023-05-16,Financial Services,EMEA,Self-Serve,Starter,10
C00190,2024-12-14,Manufacturing,North America,Direct,Starter,5
C00191,2025-01-02,Financial Services,EMEA,Partner,Growth,15
C00192,2025-04-22,Technology,North America,Self-Serve,Starter,0
C00193,2024-06-08,Manufacturing,North America,Self-Serve,Starter,0
C00194,2025-03-21,Retail,North America,Self-Serve,Starter,10
C00195,2025-05-09,Media,EMEA,Direct,Starter,0
C00196,2025-03-05,Retail,APAC,Partner,Starter,10
C00197,2023-04-12,Technology,North America,Self-Serve,Starter,0
C00198,2025-02-21,Technology,North America,Partner,Starter,0
C00199,2024-12-03,Media,APAC,Partner,Growth,15
C00200,2025-03-10,Healthcare,EMEA,Direct,Growth,0
C00201,2023-10-06,Manufacturing,North America,Self-Serve,Starter,0
C00202,2024-11-25,Retail,North America,Direct,Starter,10
C00203,2024-10-21,Technology,North America,Self-Serve,Starter,0
C00204,2025-06-13,Healthcare,North America,Self-Serve,Starter,5
C00205,2023-04-10,Financial Services,North America,Self-Serve,Growth,10
C00206,2024-01-23,Manufacturing,North America,Self-Serve,Starter,10
C00207,2024-12-22,Retail,North America,Self-Serve,Enterprise,5
C00208,2023-01-23,Technology,North America,Self-Serve,Starter,0
C00209,2023-07-20,Retail,North America,Self-Serve,Starter,0
C00210,2024-09-21,Media,APAC,Self-Serve,Growth,0
C00211,2024-07-17,Retail,North America,Self-Serve,Starter,0
C00212,2025-04-12,Retail,North America,Self-Serve,Starter,5
C00213,2024-08-11,Manufacturing,North America,Self-Serve,Starter,0
C00214,2024-12-17,Retail,North America,Self-Serve,Starter,0
C00215,2025-06-15,Financial Services,EMEA,Direct,Starter,0
C00216,2024-04-18,Other,EMEA,Self-Serve,Starter,0
C00217,2023-10-26,Healthcare,EMEA,Direct,Starter,10
C00218,2024-09-14,Manufacturing,EMEA,Self-Serve,Enterprise,15
C00219,2025-02-08,Other,North America,Partner,Starter,0
C00220,2023-05-08,Retail,North America,Self-Serve,Starter,5
C00221,2023-05-17,Retail,North America,Self-Serve,Starter,10
C00222,2025-09-01,Media,EMEA,Direct,Starter,5
C00223,2025-11-20,Manufacturing,North America,Partner,Growth,5
C00224,2024-03-17,Retail,North America,Self-Serve,Starter,0
C00225,2025-12-15,Financial Services,EMEA,Self-Serve,Growth,10
C00226,2024-10-15,Healthcare,North America,Partner,Starter,0
C00227,2025-03-14,Financial Services,EMEA,Self-Serve,Starter,5
C00228,2025-03-13,Technology,EMEA,Direct,Growth,0
C00229,2024-03-30,Healthcare,North America,Self-Serve,Enterprise,20
C00230,2025-02-26,Financial Services,EMEA,Self-Serve,Growth,15
C00231,2025-06-27,Media,EMEA,Partner,Growth,20
C00232,2025-10-14,Financial Services,EMEA,Direct,Starter,0
C00233,2023-10-06,Technology,LATAM,Direct,Starter,0
C00234,2023-09-04,Technology,EMEA,Direct,Starter,10
C00235,2025-09-18,Financial Services,North America,Direct,Starter,0
C00236,2023-09-03,Technology,EMEA,Direct,Growth,15
C00237,2024-07-19,Retail,EMEA,Self-Serve,Starter,0
C00238,2025-05-22,Media,North America,Self-Serve,Enterprise,25
C00239,2024-08-20,Media,North America,Partner,Enterprise,15
C00240,2025-06-06,Manufacturing,North America,Self-Serve,Starter,0
C00241,2025-07-06,Financial Services,North America,Direct,Enterprise,20
C00242,2025-11-03,Manufacturing,North America,Self-Serve,Starter,0
C00243,2024-01-23,Education,North America,Self-Serve,Enterprise,10
C00244,2025-07-20,Education,APAC,Self-Serve,Starter,0
C00245,2023-12-11,Other,North America,Self-Serve,Enterprise,25
C00246,2025-04-16,Technology,North America,Self-Serve,Growth,10
C00247,2025-03-30,Financial Services,EMEA,Self-Serve,Starter,0
C00248,2023-02-15,Technology,North America,Partner,Growth,15
C00249,2023-07-08,Technology,North America,Self-Serve,Starter,5
C00250,2024-08-08,Financial Services,APAC,Direct,Starter,5
C00251,2024-12-04,Manufacturing,North America,Self-Serve,Starter,5
C00252,2024-06-27,Healthcare,North America,Partner,Starter,5
C00253,2024-11-03,Media,North America,Self-Serve,Growth,0
C00254,2025-02-01,Other,North America,Self-Serve,Growth,5
C00255,2023-12-17,Healthcare,North America,Direct,Growth,0
C00256,2023-04-01,Retail,APAC,Self-Serve,Growth,10
C00257,2025-12-14,Retail,North America,Self-Serve,Growth,10
C00258,2023-03-20,Technology,APAC,Partner,Starter,0
C00259,2024-10-06,Other,EMEA,Self-Serve,Growth,0
C00260,2024-02-07,Media,North America,Direct,Starter,0
C00261,2024-07-18,Retail,North America,Partner,Starter,0
C00262,2024-09-17,Retail,APAC,Direct,Growth,15
C00263,2024-07-05,Retail,LATAM,Self-Serve,Starter,0
C00264,2023-05-26,Healthcare,North America,Direct,Starter,10
C00265,2024-07-25,Retail,EMEA,Partner,Starter,0
C00266,2024-01-25,Other,LATAM,Self-Serve,Growth,5
C00267,2024-10-04,Manufacturing,North America,Self-Serve,Growth,15
C00268,2025-06-17,Financial Services,North America,Direct,Starter,0
C00269,2025-11-16,Financial Services,North America,Self-Serve,Starter,0
C00270,2025-06-01,Healthcare,EMEA,Self-Serve,Growth,0
C00271,2025-11-26,Financial Services,North America,Direct,Enterprise,10
C00272,2024-01-10,Technology,North America,Partner,Starter,0
C00273,2023-10-30,Financial Services,North America,Self-Serve,Growth,0
C00274,2025-07-14,Other,LATAM,Direct,Growth,10
C00275,2024-11-02,Education,APAC,Direct,Enterprise,25
C00276,2023-09-28,Technology,North America,Partner,Growth,5
C00277,2025-06-26,Financial Services,EMEA,Self-Serve,Enterprise,15
C00278,2023-08-02,Education,North America,Self-Serve,Growth,10
C00279,2024-10-16,Manufacturing,APAC,Self-Serve,Enterprise,20
C00280,2023-05-17,Retail,North America,Self-Serve,Growth,10
C00281,2025-02-05,Technology,LATAM,Self-Serve,Growth,0
C00282,2025-08-02,Retail,North America,Self-Serve,Enterprise,10
C00283,2024-04-13,Education,APAC,Partner,Starter,10
C00284,2025-11-22,Technology,EMEA,Direct,Starter,10
C00285,2023-09-21,Education,North America,Direct,Growth,10
C00286,2024-04-04,Education,North America,Partner,Starter,10
C00287,2025-06-08,Technology,North America,Direct,Growth,0
C00288,2024-09-18,Healthcare,North America,Partner,Growth,20
C00289,2024-06-16,Retail,EMEA,Self-Serve,Starter,0
C00290,2023-11-04,Healthcare,North America,Direct,Growth,5
C00291,2025-12-09,Financial Services,North America,Direct,Starter,0
C00292,2023-07-24,Retail,North America,Self-Serve,Enterprise,25
C00293,2025-01-12,Technology,APAC,Self-Serve,Starter,5
C00294,2025-04-22,Technology,North America,Partner,Starter,0
C00295,2024-09-18,Financial Services,North America,Self-Serve,Starter,5
C00296,2024-04-20,Financial Services,North America,Partner,Growth,15
C00297,2024-02-06,Financial Services,North America,Self-Serve,Starter,0
C00298,2025-06-01,Technology,North America,Direct,Starter,5
C00299,2024-02-10,Technology,North America,Direct,Growth,10
C00300,2025-03-15,Financial Services,LATAM,Self-Serve,Enterprise,10
C00301,2024-11-17,Technology,North America,Direct,Starter,0
C00302,2023-04-03,Financial Services,North America,Self-Serve,Growth,10
C00303,2025-09-27,Financial Services,APAC,Self-Serve,Starter,5
C00304,2025-05-09,Technology,North America,Partner,Starter,10
C00305,2024-11-22,Retail,North America,Self-Serve,Starter,0
C00306,2024-12-12,Media,EMEA,Direct,Starter,0
C00307,2024-01-15,Healthcare,LATAM,Direct,Starter,0
C00308,2024-12-12,Financial Services,EMEA,Direct,Enterprise,15
C00309,2025-07-24,Technology,EMEA,Direct,Starter,0
C00310,2024-03-09,Financial Services,EMEA,Self-Serve,Enterprise,15
C00311,2025-09-09,Manufacturing,North America,Self-Serve,Starter,0
C00312,2025-12-29,Retail,North America,Partner,Starter,5
C00313,2024-04-09,Technology,EMEA,Direct,Growth,15
C00314,2024-01-13,Retail,LATAM,Self-Serve,Starter,0
C00315,2025-06-08,Manufacturing,EMEA,Direct,Starter,5
C00316,2025-11-02,Media,North America,Self-Serve,Growth,10
C00317,2025-09-29,Technology,North America,Direct,Starter,0
C00318,2024-02-09,Manufacturing,North America,Self-Serve,Starter,0
C00319,2023-11-15,Media,North America,Direct,Starter,0
C00320,2025-01-12,Healthcare,North America,Direct,Growth,15
C00321,2023-12-08,Financial Services,North America,Self-Serve,Growth,0
C00322,2023-01-17,Healthcare,APAC,Self-Serve,Enterprise,15
C00323,2024-08-29,Technology,LATAM,Self-Serve,Growth,0
C00324,2025-02-16,Technology,EMEA,Partner,Starter,0
C00325,2024-06-28,Media,APAC,Self-Serve,Growth,10
C00326,2023-10-13,Manufacturing,APAC,Self-Serve,Starter,0
C00327,2024-11-27,Financial Services,LATAM,Self-Serve,Enterprise,15
C00328,2024-10-15,Education,North America,Direct,Starter,0
C00329,2024-03-27,Manufacturing,EMEA,Direct,Starter,0
C00330,2025-06-26,Healthcare,EMEA,Self-Serve,Enterprise,15
C00331,2025-07-29,Retail,North America,Direct,Starter,0
C00332,2024-08-29,Education,North America,Self-Serve,Starter,0
C00333,2025-11-20,Technology,EMEA,Self-Serve,Growth,15
C00334,2023-12-12,Healthcare,North America,Self-Serve,Growth,15
C00335,2025-06-07,Manufacturing,EMEA,Partner,Starter,0
C00336,2023-11-22,Financial Services,North America,Direct,Growth,10
C00337,2025-04-05,Education,EMEA,Direct,Growth,0
C00338,2025-03-15,Healthcare,EMEA,Direct,Growth,5
C00339,2023-05-23,Healthcare,North America,Direct,Growth,10
C00340,2024-10-27,Financial Services,APAC,Self-Serve,Growth,15
C00341,2024-12-12,Financial Services,North America,Direct,Growth,10
C00342,2024-06-26,Healthcare,EMEA,Direct,Starter,0
C00343,2024-06-05,Media,EMEA,Direct,Starter,0
C00344,2025-04-03,Retail,North America,Partner,Enterprise,15
C00345,2023-03-11,Retail,EMEA,Direct,Enterprise,25
C00346,2025-11-29,Technology,APAC,Self-Serve,Growth,10
C00347,2024-05-15,Manufacturing,EMEA,Direct,Growth,5
C00348,2023-07-18,Other,North America,Self-Serve,Enterprise,25
C00349,2023-01-12,Financial Services,North America,Direct,Growth,10
C00350,2024-05-19,Technology,North America,Self-Serve,Starter,10
C00351,2025-06-03,Financial Services,EMEA,Direct,Enterprise,10
C00352,2023-12-17,Financial Services,EMEA,Self-Serve,Growth,0
C00353,2023-12-22,Financial Services,North America,Direct,Enterprise,30
C00354,2023-04-20,Retail,North America,Direct,Growth,5
C00355,2024-12-06,Manufacturing,APAC,Self-Serve,Enterprise,20
C00356,2024-10-12,Retail,North America,Direct,Starter,10
C00357,2025-10-13,Healthcare,North America,Direct,Enterprise,25
C00358,2025-03-07,Media,North America,Self-Serve,Starter,0
C00359,2023-10-10,Retail,North America,Self-Serve,Growth,0
C00360,2025-07-10,Education,EMEA,Partner,Starter,0
C00361,2024-05-28,Technology,North America,Self-Serve,Starter,0
C00362,2023-06-13,Manufacturing,North America,Self-Serve,Growth,10
C00363,2023-03-24,Financial Services,APAC,Direct,Growth,0
C00364,2024-08-31,Media,North America,Partner,Starter,0
C00365,2025-11-27,Financial Services,LATAM,Self-Serve,Starter,5
C00366,2025-04-06,Technology,North America,Self-Serve,Starter,0
C00367,2024-10-24,Technology,North America,Direct,Starter,0
C00368,2025-07-07,Manufacturing,EMEA,Self-Serve,Starter,0
C00369,2024-06-24,Healthcare,North America,Self-Serve,Starter,5
C00370,2024-12-08,Retail,North America,Self-Serve,Starter,0
C00371,2024-09-20,Healthcare,EMEA,Self-Serve,Enterprise,20
C00372,2025-02-06,Retail,North America,Direct,Starter,10
C00373,2024-11-06,Technology,APAC,Partner,Enterprise,15
C00374,2023-03-14,Media,LATAM,Direct,Growth,10
C00375,2023-08-12,Healthcare,North America,Self-Serve,Starter,0
C00376,2024-05-12,Healthcare,EMEA,Direct,Growth,10
C00377,2023-02-09,Retail,North America,Self-Serve,Growth,10
C00378,2025-12-11,Financial Services,APAC,Direct,Enterprise,15
C00379,2023-07-03,Financial Services,North America,Self-Serve,Growth,5
C00380,2024-01-17,Technology,North America,Self-Serve,Growth,15
C00381,2023-11-30,Manufacturing,APAC,Direct,Growth,0
C00382,2023-06-14,Technology,EMEA,Self-Serve,Starter,0
C00383,2023-05-30,Media,EMEA,Self-Serve,Enterprise,5
C00384,2025-09-28,Education,North America,Partner,Growth,15
C00385,2024-08-27,Financial Services,North America,Partner,Enterprise,15
C00386,2025-02-22,Financial Services,APAC,Self-Serve,Starter,0
C00387,2025-05-21,Manufacturing,North America,Self-Serve,Starter,0
C00388,2024-11-26,Media,EMEA,Direct,Starter,10
C00389,2023-08-16,Other,EMEA,Direct,Enterprise,10
C00390,2023-06-20,Technology,North America,Direct,Growth,10
C00391,2024-06-06,Manufacturing,North America,Self-Serve,Enterprise,15
C00392,2023-12-02,Healthcare,North America,Self-Serve,Growth,10
C00393,2023-06-03,Healthcare,APAC,Direct,Starter,0
C00394,2024-05-19,Media,North America,Self-Serve,Starter,0
C00395,2023-01-17,Technology,North America,Self-Serve,Starter,0
C00396,2024-07-12,Healthcare,North America,Self-Serve,Starter,5
C00397,2023-06-13,Healthcare,North America,Self-Serve,Starter,0
C00398,2025-06-15,Manufacturing,EMEA,Partner,Starter,5
C00399,2023-09-22,Technology,North America,Self-Serve,Starter,0
C00400,2023-09-19,Technology,North America,Direct,Starter,0
C00401,2025-04-22,Retail,EMEA,Self-Serve,Starter,0
C00402,2025-11-15,Technology,EMEA,Direct,Starter,0
C00403,2024-07-12,Media,EMEA,Direct,Starter,5
C00404,2025-11-14,Technology,North America,Partner,Enterprise,10
C00405,2025-05-05,Healthcare,LATAM,Direct,Starter,0
C00406,2025-07-20,Technology,North America,Direct,Growth,10
C00407,2023-10-05,Manufacturing,North America,Direct,Enterprise,15
C00408,2024-07-20,Technology,EMEA,Direct,Growth,10
C00409,2025-03-08,Financial Services,North America,Self-Serve,Starter,0
C00410,2025-06-24,Financial Services,LATAM,Self-Serve,Growth,10
C00411,2025-10-24,Media,North America,Self-Serve,Enterprise,20
C00412,2025-09-29,Retail,EMEA,Self-Serve,Growth,15
C00413,2025-02-28,Financial Services,EMEA,Direct,Growth,15
C00414,2024-06-09,Manufacturing,LATAM,Self-Serve,Starter,0
C00415,2023-11-25,Manufacturing,EMEA,Direct,Starter,0
C00416,2024-05-31,Manufacturing,EMEA,Direct,Starter,0
C00417,2024-09-03,Technology,APAC,Self-Serve,Growth,15
C00418,2023-08-18,Technology,North America,Self-Serve,Starter,0
C00419,2023-06-20,Manufacturing,North America,Self-Serve,Starter,10
C00420,2023-07-14,Media,EMEA,Direct,Starter,10
C00421,2023-12-21,Financial Services,North America,Direct,Enterprise,15
C00422,2025-07-02,Healthcare,North America,Direct,Starter,10
C00423,2025-01-11,Technology,EMEA,Self-Serve,Growth,0
C00424,2024-01-29,Manufacturing,APAC,Direct,Growth,10
C00425,2023-10-14,Technology,North America,Self-Serve,Growth,10
C00426,2025-12-01,Technology,North America,Self-Serve,Starter,0
C00427,2025-08-15,Healthcare,APAC,Direct,Starter,5
C00428,2024-12-19,Manufacturing,North America,Self-Serve,Starter,0
C00429,2025-03-27,Retail,North America,Self-Serve,Starter,0
C00430,2024-09-07,Retail,APAC,Partner,Starter,0
C00431,2024-09-10,Financial Services,North America,Self-Serve,Starter,0
C00432,2025-11-18,Retail,North America,Self-Serve,Starter,10
C00433,2024-09-15,Manufacturing,North America,Partner,Starter,0
C00434,2024-11-24,Media,North America,Self-Serve,Starter,0
C00435,2023-09-21,Retail,EMEA,Direct,Starter,0
C00436,2024-12-02,Technology,EMEA,Partner,Starter,0
C00437,2025-05-29,Retail,North America,Self-Serve,Growth,15
C00438,2025-05-21,Technology,LATAM,Self-Serve,Starter,0
C00439,2024-07-20,Other,EMEA,Self-Serve,Growth,10
C00440,2025-03-23,Media,EMEA,Self-Serve,Growth,0
C00441,2025-07-17,Media,EMEA,Direct,Starter,0
C00442,2024-03-20,Manufacturing,North America,Self-Serve,Growth,15
C00443,2025-07-18,Financial Services,EMEA,Self-Serve,Starter,0
C00444,2025-09-03,Financial Services,APAC,Self-Serve,Growth,0
